none,Web TV,demo,http://sample.vodobox.net/skate_phantom_flex_4k/skate_phantom_flex_4k.m3u8,audio/x-mpegurl,200
none,Web TV,ip tv,http://ogietv.biz.id:80/get.php?username=World&password=di4mond&type=m3u_plus&output=mpegts,text/html; charset=UTF-8,404
none,Web TV,joefarm,http://iptvmedia.live:8080/get.php?username=test-b86cf0&password=5a02&type=m3u_plus&output=ts,text/html; charset=utf-8,404
none,Web Radio,Dance Wave Retro!,http://retro.dancewave.online/retrodance.ogg,text/html,302
none,Web Radio,Dance Wave!,http://dancewave.online/dance.ogg,text/html,302
none,Web Radio,Dance Wave!,http://dancewave.online/dance.aac,text/html,302
none,Web Radio,Puls Radio Version 9.0,http://www.pulsradio.com/pls/pulsV90-adsl.m3u,text/html; charset=iso-8859-1,301
none,Web Radio,Puls Radio,http://www.pulsradio.com/pls/puls-adsl.m3u,text/html; charset=iso-8859-1,301
none,Web Radio,Puls Radio Version 8.0,http://www.pulsradio.com/pls/pulsV80-adsl.m3u,text/html; charset=iso-8859-1,301
none,Web Radio,BeatlesDay,http://listen.radionomy.com/beatlesday.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,CinéTaRadio,http://listen.radionomy.com/cinetaradio.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,Rastapuls,http://www.rastapuls.com/rastapuls.m3u,text/html,301
none,Web Radio,DMode Radio (Dépêche Mode et Pop/Rock),http://listen.radionomy.com/dmode-radio.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,Gaga Face (Lady Gaga),http://listen.radionomy.com/gaga-face.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,Michael Jackson Radio,http://listen.radionomy.com/michael-jackson-radio.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,Radio Britney (Britney Spears),http://listen.radionomy.com/radio-britney.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,RadioCinéma,http://listen.radionomy.com/radiocinema.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,Radio Hallyday (Johnny & David),http://listen.radionomy.com/radio-hallyday.m3u,audio/x-mpegurl; charset=utf-8,200
none,Web Radio,Rastapuls,http://radio.rastapuls.com:8000/rastapuls,audio/mpeg,200
none,Web Radio,Lounge Radio (AAC+),http://live.streamhosting.ch:8010,audio/aacp,200
sq,Web TV,balkanweb.com/news24,https://tv.balkanweb.com/news24/livestream/playlist.m3u8,application/vnd.apple.mpegurl,200
none,Web Radio,Dance Wave Retro!,http://retro.dancewave.online/retrodance.mp3,text/html,302
ar,Web TV,Al Jazeera Arabic Qatar QA,https://live-hls-web-aja.getaj.net/AJA/index.m3u8,application/vnd.apple.mpegurl,200
ar,Web TV,Aljazeera HD,https://live-hls-web-aja.getaj.net/AJA/01.m3u8,application/vnd.apple.mpegurl,200
ar,Web TV,Ajyal tv,http://htvajyal.mada.ps:8888/ajyal/tracks-v1a1/mono.m3u8,text/html,302
az,Web TV,Alvin_Channel.tv,http://cdn10-alvinchannel.yayin.com.tr/alvinchannel/alvinchannel/playlist.m3u8,application/vnd.apple.mpegurl,200
az,Web TV,baku.tv,https://rtmp.baku.tv/live/bakutv_720p.m3u8,text/html,404
az,Web TV,Azerbaijan_News.tv,https://edge1.socialsmart.tv/aznews/smil/playlist.m3u8,text/html,404
az,Web TV,EL.tv,http://85.132.53.162:1935/live/eltv/playlist.m3u8,application/vnd.apple.mpegurl,200
none,Web Radio,Dance Wave!,http://dancewave.online/dance.mp3,text/html,302
bg,Web TV,Auto Moto TV,http://100automoto.tv:1935/bgtv1/Stream1/playlist.m3u8,application/vnd.apple.mpegurl,200
bg,Web TV,automoto/tv,http://100automoto.tv:1935/bgtv1/autotv/playlist.m3u8,application/vnd.apple.mpegurl,200
